ID,Type,Card Name,Category,Sem_Start,Sem_End,Cost_Time,Cost_Health,Cost_Study,Cost_Social,Cost_Money,Cost_Stress,Req_Prerequisite,Reward_Algo,Reward_POR,Reward_Res,Reward_Prod,Reward_Health,Reward_Study,Reward_Social,Reward_Money,Reward_Stress,Flavor_Text
EVT_001,RANDOM,Wing Treat,Social,1,4,0,0,0,0,0,0,None,0,0,0,0,0,0,1,0,2,"A senior spots you at MT looking entirely burnt out and buys you a cold coffee. Hearing 'everyone fails this course' drops your stress instantly."
EVT_002,RANDOM,Proxy Legend,Academic,1,4,0,0,0,0,0,0,None,0,0,0,0,0,5,0,0,0,"You overslept for an 8 AM lecture, but a wingmate clutched the proxy. You saved your attendance, but completely missed the core concepts."
EVT_003,RANDOM,Movie Night,Social,1,4,1,0,0,0,0,0,None,0,0,0,0,0,0,1,0,1,"The wing decides to pirate a movie at 2 AM. You sacrifice a block of time, but pure, unadulterated bonding restores your mind."
EVT_004,RANDOM,Study Partner,Academic,1,8,0,0,0,0,0,0,None,0,0,0,0,0,5,0,0,0,"You find someone in the PKK Library who actually understands the assignment. A highly productive, collaborative session ensues."
EVT_005,RANDOM,Canteen Treat,Social,1,4,0,0,0,0,1,0,None,0,0,0,0,0,0,1,0,1,"You offer to pay for the group's Maggi at the Hall Canteen. It costs you a little pocket money, but the goodwill is worth it."
EVT_006,RANDOM,Food Poisoning,Health,1,8,1,1,0,0,0,1,None,0,0,0,0,0,0,0,0,0,"The paneer from the night canteen betrayed you. You lose a time block to the washroom and feel utterly drained."
EVT_007,RANDOM,Surprise Quiz,Academic,1,8,0,0,0,0,0,2,None,0,0,0,0,0,0,0,0,0,"The professor walks in, locks the doors, and writes two questions on the board. You were not ready."
EVT_008,RANDOM,Festival Drama,Social,1,8,0,0,0,1,0,1,None,0,0,0,0,0,0,0,0,0,"Club politics spill over into the hostel wing. You spend an hour mediating a fight that shouldn't even exist."
EVT_009,RANDOM,Bicycle Puncture,Friction,1,8,0,0,0,0,1,1,None,0,0,0,0,0,0,0,0,0,"You are running late to LHC and your cycle tire goes flat. You have to pay the repair shop and walk the rest of the way."
EVT_010,RANDOM,Laptop Crash,Friction,5,8,1,0,0,0,0,3,None,0,0,0,0,0,0,0,0,0,"Your code was compiling perfectly until the screen went blue. The pure panic of losing unsaved progress takes years off your life."
EVT_011,RANDOM,Care Package,Health,1,8,0,0,0,0,0,0,None,0,0,0,0,1,0,0,1,2,"A package arrives from home. Snacks, cash, and a letter. For a moment, you forget about the mid-sems."
EVT_012,RANDOM,OAT Jam Session,Social,1,8,0,0,0,0,0,0,None,0,0,0,0,0,0,1,0,1,"You walk past the OAT and someone is playing a guitar. You sit on the grass for an hour and just breathe."
EVT_013,RANDOM,Lab Equipment Broken,Academic,1,8,1,0,0,0,0,1,None,0,0,0,0,0,0,0,0,0,"The oscilloscope in your bay is fried. You waste a time block waiting for the TA to find a replacement."
EVT_014,RANDOM,Library Eureka,Academic,1,8,0,0,0,0,0,0,None,0,0,0,0,0,5,0,0,1,"After staring at the same proof for an hour, the logic suddenly clicks. A massive wave of relief and understanding washes over you."
EVT_015,RANDOM,Unexpected Holiday,Friction,1,8,0,0,0,0,0,0,None,0,0,0,0,1,0,0,0,2,"The administration declares a sudden holiday due to intense heat. The collective sigh of relief from the student body is deafening."
