Turn,Semester,Phase,the vibe,the psychology ,IITK stuff,Poetic,life happen cards events ( reward is heu),PORs ( it take heurictics +cpi+ prereq) rewards in POR solely,Projects ( it take prereq as cpi + 4 resume parameters to get it and benefits project section ),Work Experience ( takes CPI + ,network,Literature review
1,Sem 1,Orientation & The Mirage,"Neon lights, grand promises, and the fresh scent of the airstrip.","The Hubris Phase. You arrive carrying the weight of being a topper. The psychological transition from absolute validation to becoming a ""nobody"" among geniuses begins at the Convocation Hall.","Navigating the massive Lecture Hall Complex (LHC), buying a secondhand bicycle at Hall 3, and realizing that MTH101 is an entirely different beast.","We stepped through the gates under skies wide and blue,With dreams wrapped in brick of a crimson hue.The orientation whispered of worlds we would claim,Before the first quiz put a dent in our name.",all,Volunteer,"Intro to Python, Basic HTML/CSS",Locked,"Freshers, batchmates","he first-year engineering transition shock” or “Unrealistic academic optimism in STEM freshmen.” A core paper to reference is by Seymour and Hewitt (Talking About Leaving), which"
2,Sem 2,The Reality Check,"Cold morning cycles, heavy fog, and the sudden drop of the first midsem results.",Cognitive Dissonance. The defense mechanisms break down. You realize that hard work does not guarantee an 'A' grade anymore. Imposter syndrome peaks as you learn to tie your self-worth away from academic validations.,"Surviving the brutal grading curves of TA101 or ESC101, pulling all-nighters at the Computer Centre (CC), and relying on last-minute proxy attendance.","The honeymoon shattered, the illusion was gone,As we coded in silence through shadows of dawn.The grading curves twisted, the giants would fall,Learning survival inside the lecture hall.",all,Volunteer,"CP Ladder Grind (Pupil/Specialist), Basic Figma UI Workflows",Locked,"Seniors, club members",Imposter syndrome in undergraduate engineering students” or “First-year engineering GPA shock and self-efficacy.” Studies by the American Society for Engineering Education (ASEE)
3,Sem 3,The Core Crucible,"Heavy textbooks, departmental identity, and the loss of introductory buffers.",The Identity Crisis. The general courses are over. You are forced into your specific branch. You struggle to find passion in abstract theories while watching your CPI fluctuate.,"Shifting to your core department buildings, experiencing the specific academic pressure of your branch, and taking long mid-night walks to MT or CCD to process the stress.","The majors arrived with a thunderous sound,To pin our ambitions straight down to the ground.No longer a freshie, the paths start to split,In the core of the crucible, shadows are lit.",all,Secretary ,"App Development, Basic ML Models",can take prof projects or interns,"Professors, department seniors"," ""The Sophomore Slump in STEM."" Papers like “Understanding the Sophomore Slump: A Review of Research and Programs” highlight a distinct dip in student morale and academic performance during the second year when core discipline topics are introduced."
4,Sem 4,"Labs, Labs, Labs!","Stained lab coats, error messages in red, and the smell of burnt components or chemical fumes.",rauma-Bonding. Despair turns into collective humor. You accept the chaos. The psychology shifts from individual competition to group survival—you realize you cannot get through this alone.,"Endless afternoons trapped in department labs, writing massive lab files, arguing with Teaching Assistants (TAs), and celebrating the rare moments when your code or experiment actually works.","A cycle of errors, a script that won't run,We chased down the data till rising of sun.With ink on our fingers and ache in our bones,We found our true brothers in academic zones.",all,Secretary ,"Full Stack Websites, Iterative Design Prototypes → Unlocks Algo 1, Prod 1","Low-Tier SDE Internships, Early Startup Stints","Lab partners, Teaching Assistants (TAs)",“Cognitive overload in engineering laboratory courses” or “Time-allocation and burnout among second-year STEM undergraduates.”
5,Interlude,The Intern Selection,Refreshing the SPO portal every five minutes. The heavy silence in the hostel wings.,"The Comparison Trap. A massive psychological divide opens. Your profile—built on CPI, algorithmic skills, development projects, or research papers—becomes your currency. You choose your path: Corporate, Quant, Core, or Academia.","Building the first formal resume for the Students' Placement Office (SPO), dealing with the anxiety of shortlists, and watching friends secure day-1 offers while you wait.","The portal is open, the resumes cast,To sort out the future from seeds of our past.By numbers and projects our worth is designed,As we stand at the fork where the roads are aligned.",all,Cordinator,,,"SPO officers, company recruiters",The impact of internship hunting on the mental health of undergraduate engineering students
6,Sem 5,The Figuring Out Phase," Open Air Theatre (OAT) discussions, chaotic brainstorming, and existential dread.","The Search for Autonomy. The immediate panic of the internship drive settles. You look at your choices and ask: ""Is this corporate race actually what I want from my life?""","Managing minor projects, opting for open electives across fields, and spending evenings debating life choices over sweet tea at the canteen.","The storm has subsided, the question remains,What lies past the ledger of losses and gains?We sat by the tracks as the evening turned grey,Just trying to figure the steps to our way.",all,Cordinator,"Deep Learning Research, Serious Game Design Mechanics","UI/UX Internships, Mid-Tier SDE Roles","Open elective batchmates, project guides","Professional identity formation in third-year engineering students.” Researchers like Heidi Carlone write extensively on how students negotiate their ""scientific and engineering identities"" during their junior year."
7,Sem 6,A Glimmer of Clarity and stability ,"Polished code repositories, final project outlines, and a distinct maturity in conversations.",The Acceptance Acceptance. The fog begins to lift. You accept your limitations and recognize your strengths. You build a realistic game plan for the upcoming final year.,"picking up targeted skills, and experiencing your last unrestricted campus fests (Antaragni or Techkriti) with a sense of passing the torch.","The chaos is quiet, the vision is clear,We learned how to balance the hope and the fear.A little bit wiser, a little less blind,Leaving the ghosts of our doubts far behind.",all,Cordinator,"Open Source Contributions (GSoC), Early Thesis/BTP → Unlocks Algo 2, Res 2","Top-Tier Tech/Design Internships, Global Research Internships","Fest coordinators, research supervisors",Academic coping strategies and resilience of upper-level engineering undergraduates
8, The Summer , The Summer Divide: Choose Your Adventure,"Empty hostels, quiet campus roads, or a completely new city skyline.","The Trial Run of Adulthood. A taste of independent life. Whether earning your first stipend, deep-diving into academic research, or resting at home, you experience life outside the IITK bubble.","Submitting the intern completion reports, working in quiet summer labs on campus, or dealing with the nostalgia of an empty room back home.","A summer of choices, a summer of gold,As stories of practical living unfold.We tested our wings in the world of the real,To see how the weight of the future would feel.",all,Cordinator,,,"Co-interns, industry mentors",Tracking and career pathway selections among final-year engineering students.”
9,Sem 7,Endgame (The SPO Rush & PORs),"Black formal suits, freezing December fog, and the constant echo of celebration in the hostel wings.",The Ultimate Climax. Extreme stress meets high-stakes responsibility. Juggling Leadership Positions (PORs) while facing the ultimate final boss: the December placement drive.,"Shivering in your formal attire at 3 AM outside the LHC/SPO rooms, running interview mock drills, and the sudden, explosive joy of hearing a wing-mate get placed.","The winter chill descends, the final hour calls,In midnight black suits through the echoing halls.The endgame is here, let the dice now be thrown,To claim the bright futures we finally own.",all,Head/festi/ PSG/ gensec,"Advanced Systems Architectures, Strategic Board Game Prototyping → Unlocks Algo 3, Res 3",,Placement coordinators,Campus placement stress and cortisol levels in graduating engineering students.”
10,Sem 8,The Final goodbye ,"Packing boxes, dust settled on empty desks, and long goodbyes under the crimson sunset.","Catharsis and Deep Nostalgia. The academic pressure drops to zero. The mind lets go of all old anxieties, leaving behind a sharp, beautiful ache of leaving the place that rebuilt you from scratch.","Taking final photos at the airstrip, clearings dues at the library, packing up your hostel room, and watching the peacocks on campus one last time.","The bicycles rust and the rooms are left bare,But the ghosts of our laughter still hang in the air.We came here as children, afraid of the test,And we leave as the eagles that flew from the nest.",all,Head/festi/ PSG/ gensec,"Product Portfolio Finalization, Game Deployment → Unlocks Prod 3",Final Placement Outcomes Calculated,"Lifelong friends, graduating batchmates",“The psychology of 'Senioritis' in undergraduate programs” or “Emotional transitions and nostalgia during the final semester of higher education.”
